Error Type,Error Rate,Completion Time (s),Throughput (bytes/s)
1,0.0,2.733919858932495,148323.29436252598
1,5.0,1.3997905254364014,289689.0589208548
1,10.0,1.3500447273254395,300363.3818883468
1,15.000000000000002,1.383162021636963,293171.728009195
1,20.0,1.4172451496124268,286121.2826241762
1,25.0,1.319272756576538,307369.34267654194
1,30.000000000000004,1.3947155475616455,290743.15598541574
1,35.0,1.441727638244629,281262.55559178995
1,40.0,1.5392909049987793,263435.5849717189
1,45.0,1.3507132530212402,300214.7192181458
1,50.0,1.3359766006469727,303526.27419045125
1,55.00000000000001,1.3445086479187012,301600.14264521096
1,60.00000000000001,1.3468937873840332,301066.0556892009
2,0.0,1.3411200046539307,302362.2036751575
2,5.0,1.3871760368347168,292323.38883627654
2,10.0,1.3635590076446533,297386.4700585626
2,15.000000000000002,1.478822946548462,274207.26798054954
2,20.0,1.4009425640106201,289450.8386119147
2,25.0,1.3833391666412354,293134.18558412447
2,30.000000000000004,1.395866870880127,290503.3484635395
2,35.0,1.3717522621154785,295610.22875562304
2,40.0,1.3658506870269775,296887.50304226385
2,45.0,1.3948707580566406,290710.80432208325
2,50.0,1.2918751239776611,313887.92343292455
2,55.00000000000001,1.3565318584442139,298927.0008483741
2,60.00000000000001,1.352515697479248,299814.634873191
3,0.0,1.3835060596466064,293098.82466548734
3,5.0,1.4368884563446045,282209.79729462677
3,10.0,1.3503391742706299,300297.8864321464
3,15.000000000000002,1.3583486080169678,298527.19515941426
3,20.0,1.3561756610870361,299005.5135445877
3,25.0,1.3636829853057861,297359.4335116469
3,30.000000000000004,1.509516954421997,268631.63001390063
3,35.0,1.366276741027832,296794.9228901787
3,40.0,1.435532569885254,282476.34954908275
3,45.0,1.4145145416259766,286673.61703745753
3,50.0,1.4489576816558838,279859.1050199519
3,55.00000000000001,1.3791553974151611,294023.4296729746
3,60.00000000000001,1.3513736724853516,300068.00358499325
4,0.0,1.5505895614624023,261516.0130560652
4,5.0,1.3949456214904785,290695.202560459
4,10.0,1.3493232727050781,300523.9798369883
4,15.000000000000002,1.3101658821105957,309505.84619617654
4,20.0,1.3665940761566162,296726.0045063505
4,25.0,1.3512413501739502,300097.3881888665
4,30.000000000000004,1.397874116897583,290086.2066893179
4,35.0,1.2755579948425293,317903.22481578775
4,40.0,1.3204989433288574,307083.92615427723
4,45.0,1.3230907917022705,306482.3688163411
4,50.0,1.4312379360198975,283323.9601848861
4,55.00000000000001,1.2914066314697266,314001.79472402367
4,60.00000000000001,1.4191381931304932,285739.61433980864
5,0.0,1.3223309516906738,306658.4802250454
5,5.0,1.373373031616211,295261.36793497053
5,10.0,1.4316141605377197,283249.5033771468
5,15.000000000000002,1.433901309967041,282797.7052404818
5,20.0,1.4471893310546875,280201.0706536065
5,25.0,1.3653342723846436,296999.7957289693
5,30.000000000000004,1.3409998416900635,302389.2974431249
5,35.0,1.4022955894470215,289171.5577312096
5,40.0,1.3914496898651123,291425.5563485804
5,45.0,1.4869327545166016,272711.72739202215
5,50.0,1.3986995220184326,289915.02007152047
5,55.00000000000001,1.4196827411651611,285630.0131303949
5,60.00000000000001,1.3997857570648193,289690.0457469239
